CMDLINE /usr/bin/python3 rrt.py
MEM 3.847656 1717599017.0828
MEM 31.992188 1717599017.1836
MEM 50.972656 1717599017.2843
MEM 58.160156 1717599017.3849
MEM 63.054688 1717599017.4856
MEM 63.675781 1717599017.5863
MEM 63.675781 1717599017.6869
MEM 63.675781 1717599017.7876
MEM 63.675781 1717599017.8882
MEM 63.675781 1717599017.9888
MEM 63.675781 1717599018.0895
MEM 63.675781 1717599018.1902
MEM 63.675781 1717599018.2908
MEM 63.675781 1717599018.3914
MEM 63.675781 1717599018.4921
MEM 63.675781 1717599018.5926
MEM 63.675781 1717599018.6934
MEM 63.675781 1717599018.7936
MEM 63.675781 1717599018.8943
MEM 63.675781 1717599018.9946
MEM 63.675781 1717599019.0953
MEM 63.675781 1717599019.1956
MEM 63.675781 1717599019.2962
MEM 63.675781 1717599019.3966
MEM 63.675781 1717599019.4974
MEM 63.675781 1717599019.5977
MEM 63.675781 1717599019.6984
MEM 63.675781 1717599019.7991
MEM 63.675781 1717599019.8996
MEM 63.675781 1717599020.0003
MEM 63.675781 1717599020.1006
MEM 63.675781 1717599020.2013
MEM 63.675781 1717599020.3016
MEM 63.675781 1717599020.4023
MEM 63.675781 1717599020.5026
MEM 63.675781 1717599020.6033
MEM 63.675781 1717599020.7036
MEM 63.675781 1717599020.8043
MEM 63.675781 1717599020.9050
MEM 63.675781 1717599021.0057
MEM 63.675781 1717599021.1064
MEM 63.675781 1717599021.2070
MEM 63.675781 1717599021.3076
MEM 63.675781 1717599021.4083
MEM 63.675781 1717599021.5087
MEM 63.675781 1717599021.6093
MEM 63.675781 1717599021.7096
MEM 63.675781 1717599021.8103
MEM 63.675781 1717599021.9107
MEM 63.675781 1717599022.0114
MEM 63.675781 1717599022.1116
MEM 63.675781 1717599022.2123
MEM 63.675781 1717599022.3127
MEM 63.675781 1717599022.4134
MEM 63.675781 1717599022.5136
MEM 63.675781 1717599022.6143
MEM 63.675781 1717599022.7146
MEM 63.675781 1717599022.8153
MEM 63.675781 1717599022.9156
MEM 63.675781 1717599023.0163
MEM 63.675781 1717599023.1167
MEM 63.675781 1717599023.2174
MEM 63.675781 1717599023.3176
MEM 63.675781 1717599023.4183
MEM 63.675781 1717599023.5186
MEM 63.675781 1717599023.6193
MEM 63.675781 1717599023.7196
MEM 63.675781 1717599023.8203
MEM 63.675781 1717599023.9206
MEM 63.675781 1717599024.0213
MEM 63.675781 1717599024.1216
MEM 63.675781 1717599024.2223
MEM 63.675781 1717599024.3226
MEM 63.675781 1717599024.4256
MEM 63.675781 1717599024.5263
MEM 63.675781 1717599024.6266
MEM 63.675781 1717599024.7273
MEM 63.675781 1717599024.8276
MEM 63.675781 1717599024.9283
MEM 63.675781 1717599025.0286
MEM 63.675781 1717599025.1293
MEM 63.675781 1717599025.2296
MEM 63.675781 1717599025.3302
MEM 63.675781 1717599025.4307
MEM 63.675781 1717599025.5313
MEM 63.675781 1717599025.6316
MEM 63.675781 1717599025.7323
MEM 63.675781 1717599025.8326
MEM 63.675781 1717599025.9333
MEM 63.675781 1717599026.0336
MEM 63.675781 1717599026.1342
MEM 63.675781 1717599026.2346
MEM 63.675781 1717599026.3352
MEM 63.675781 1717599026.4359
MEM 63.675781 1717599026.5365
MEM 63.675781 1717599026.6372
MEM 63.675781 1717599026.7376
MEM 63.675781 1717599026.8383
MEM 63.675781 1717599026.9390
MEM 63.675781 1717599027.0396
MEM 63.675781 1717599027.1403
MEM 63.675781 1717599027.2406
MEM 63.675781 1717599027.3413
MEM 63.675781 1717599027.4417
MEM 63.675781 1717599027.5423
MEM 63.675781 1717599027.6430
MEM 63.675781 1717599027.7437
MEM 63.675781 1717599027.8443
